===== SUPPLIER LIST =====

Name: Azam, Phone: 3112345678, Email: azam@gmail.com, CNIC: 4220173729199, Company: Hamza Leather
Name: Adil, Phone: 3224344567, Email: adil@gmail.com, CNIC: 4220177665543, Company: Adil & Co
Name: Daniyal, Phone: 3421122334, Email: dani@gmail.com, CNIC: 4220166655544, Company: Daniyal & Co
Name: Shehryar, Phone: 3123344888, Email: shery@gmail.com, CNIC: 4220188822233, Company: Shery & Co.
Name: Aqib, Phone: 3125566778, Email: aqib@gmail.com, CNIC: 4220145667898, Company: Aqib & Co.
Name: Kamran, Phone: 3203988798, Email: kami@gmail.com, CNIC: 4220104563346, Company: Kamran & Co.
Name: Moosa, Phone: 3112983939, Email: moosa@gmail.com, CNIC: 4220123998786, Company: Moosa & Co.
Name: Fayaz, Phone: 3113899788, Email: fayaz@gmail.com, CNIC: 4220155768899, Company: Fayaz & Co.
Name: Imran, Phone: 3001122333, Email: Imran@gmail.com, CNIC: 4220122233344, Company: Imran & Co.
Name: Umair, Phone: 3112223334, Email: umair@gmail.com, CNIC: 4220155566677, Company: Umair & Co.

=========================
